id_orden,id_producto,cantidad_comprada,precio_producto,total_orden
10001,1,1,158.02,158.02
10002,2,5,29.15,145.75
10003,3,3,59.83,179.49
10004,4,3,45.1,135.3
10005,5,2,160.8,321.6
10006,6,1,58.92,58.92
10007,7,5,109.08,545.4
10008,8,3,160.49,481.47
10009,9,5,109.35,546.75
10010,10,1,12.11,12.11
10011,8,4,127.49,509.96
10012,8,3,52.27,156.81
10013,11,2,91.3,182.6
10014,5,1,183.99,183.99
10015,12,1,77.37,77.37
10016,13,5,159.23,796.15
10017,9,4,56.33,225.32
10018,14,4,107.66,430.64
10019,15,4,117.54,470.16
10020,16,1,70.9,70.9
10021,3,4,194.48,777.92
10022,3,4,86.9,347.6
10023,5,4,11.47,45.88
10024,7,4,10.51,42.04
10025,14,2,87.42,174.84
10026,7,3,83.53,250.59
10027,17,2,163.87,327.74
10028,14,2,175.04,350.08
10029,8,2,146.44,292.88
10030,11,3,175.47,526.41
10031,12,3,52.17,156.51
10032,6,3,49.33,147.99
10033,17,4,106.64,426.56
10034,15,1,125.45,125.45
10035,5,2,129.65,259.3
10036,5,4,166.22,664.88
10037,1,3,129.39,388.17
10038,9,3,22.73,68.19
10039,2,2,162.7,325.4
10040,8,2,133.21,266.42
10041,3,5,180.35,901.75
10042,12,1,67.27,67.27
10043,9,5,124.13,620.65
10044,10,3,162.42,487.26
10045,11,5,151.47,757.35
10046,2,2,63.06,126.12
10047,5,2,169.36,338.72
10048,17,2,153.09,306.18
10049,10,4,181.93,727.72
10050,17,5,53.07,265.35
10051,7,1,29.98,29.98
10052,3,3,69.52,208.56
10053,6,3,51.7,155.1
10054,9,3,24.3,72.9
10055,10,5,145.59,727.95
10056,4,3,22.17,66.51
10057,2,5,113.99,569.95
10058,9,1,134.08,134.08
10059,17,2,149.27,298.54
10060,10,3,74.52,223.56
10061,11,4,164.07,656.28
10062,5,5,33.08,165.4
10063,11,5,58.93,294.65
10064,5,3,186.63,559.89
10065,14,1,48.94,48.94
10066,18,4,166.51,666.04
10067,13,3,47.12,141.36
10068,12,4,135.37,541.48
10069,12,1,123.09,123.09
10070,5,3,72.77,218.31
10071,9,2,99.73,199.46
10072,1,5,129.9,649.5
10073,7,1,95.48,95.48
10074,11,5,196.62,983.1
10075,6,5,132.09,660.45
10076,12,5,139.75,698.75
10077,6,5,56.3,281.5
10078,13,3,96.56,289.68
10079,1,2,76.21,152.42
10080,5,4,124.35,497.4
10081,18,1,75.32,75.32
10082,13,3,170.94,512.82
10083,14,4,67.48,269.92
10084,12,2,139.79,279.58
10085,16,1,112.51,112.51
10086,7,4,108.78,435.12
10087,15,5,78.09,390.45
10088,6,5,175.46,877.3
10089,5,1,58.93,58.93
10090,6,5,186.93,934.65
10091,13,3,163.94,491.82
10092,2,1,130.28,130.28
10093,16,3,80.7,242.1
10094,6,1,192.21,192.21
10095,18,3,182.25,546.75
10096,13,1,40.2,40.2
10097,11,4,10.77,43.08
10098,3,5,170.86,854.3
10099,9,5,171.5,857.5
10100,8,4,71.35,285.4
10101,10,2,110.83,221.66
10102,4,4,79.23,316.92
10103,1,2,45.98,91.96
10104,2,3,89.08,267.24
10105,13,4,142.91,571.64
10106,4,5,173.85,869.25
10107,6,1,55.01,55.01
10108,12,4,23.48,93.92
10109,4,2,146.13,292.26
10110,15,4,122.83,491.32
10111,6,2,149.23,298.46
10112,7,3,59.13,177.39
10113,1,4,181.33,725.32
10114,11,1,79.71,79.71
10115,6,4,140.44,561.76
10116,12,3,175.54,526.62
10117,10,1,152.99,152.99
10118,6,3,40.29,120.87
10119,2,5,89.66,448.3
10120,14,3,133.35,400.05
10121,9,1,23.03,23.03
10122,13,2,186.03,372.06
10123,2,2,190.01,380.02
10124,14,1,71.31,71.31
10125,7,1,40.97,40.97
10126,4,3,119.53,358.59
10127,11,3,197.76,593.28
10128,4,2,126.81,253.62
10129,16,2,92.45,184.9
10130,5,5,183.08,915.4
10131,3,4,40.81,163.24
10132,9,2,17.64,35.28
10133,1,3,156.64,469.92
10134,16,4,160.36,641.44
10135,8,1,63.77,63.77
10136,3,1,114.13,114.13
10137,1,3,163.05,489.15
10138,15,4,82.6,330.4
10139,15,3,169.82,509.46
10140,13,2,112.91,225.82
10141,7,1,93.06,93.06
10142,2,2,76.61,153.22
10143,12,5,97.25,486.25
10144,2,1,137.96,137.96
10145,12,4,62.9,251.6
10146,3,3,61.0,183.0
10147,2,4,28.75,115.0
10148,15,4,193.63,774.52
10149,5,4,96.22,384.88
10150,1,2,141.92,283.84
10151,10,1,121.08,121.08
10152,17,1,149.44,149.44
10153,17,4,71.59,286.36
10154,8,1,131.62,131.62
10155,6,3,55.36,166.08
10156,11,3,93.15,279.45
10157,13,4,36.07,144.28
10158,1,5,62.06,310.3
10159,8,1,28.94,28.94
10160,1,3,108.12,324.36
10161,15,4,192.43,769.72
10162,18,5,197.94,989.7
10163,16,2,117.13,234.26
