id_orden,fecha_compra,id_cliente,id_region_envio,id_metodo_pago
10001,2025-04-27,2687,1,1
10002,2025-04-24,2837,2,2
10003,2025-05-02,1328,2,1
10004,2025-04-10,1487,3,3
10005,2025-05-15,1634,4,4
10006,2025-01-18,1064,2,5
10007,2025-07-13,1500,5,2
10008,2025-07-02,2411,1,5
10009,2025-01-18,2062,1,4
10010,2025-02-01,1306,3,3
10011,2025-02-17,1066,2,3
10012,2025-05-20,2396,5,3
10013,2025-02-12,2058,5,2
10014,2025-06-09,1294,4,5
10015,2025-08-01,1979,1,3
10016,2025-07-14,1839,4,3
10017,2025-02-15,2947,1,3
10018,2025-03-06,2122,3,3
10019,2025-05-18,2937,1,3
10020,2025-01-05,1147,3,5
10021,2025-05-26,2753,5,3
10022,2025-05-20,1841,5,1
10023,2025-02-21,1976,5,3
10024,2025-05-23,2998,3,4
10025,2025-02-01,1271,1,3
10026,2025-06-11,1613,5,4
10027,2025-04-28,2962,2,4
10028,2025-04-11,2015,2,2
10029,2025-05-12,2728,3,2
10030,2025-01-05,2665,4,4
10031,2025-04-11,1645,5,2
10032,2025-04-01,2380,5,1
10033,2025-01-03,2865,4,1
10034,2025-08-25,1263,4,4
10035,2025-07-28,1508,3,3
10036,2025-01-03,2092,1,5
10037,2025-07-25,2337,4,5
10038,2025-01-18,1514,1,3
10039,2025-04-28,1386,3,1
10040,2025-01-23,2313,5,3
10041,2025-05-09,2305,3,5
10042,2025-04-16,1139,1,2
10043,2025-04-27,2715,1,2
10044,2025-08-19,2042,3,4
10045,2025-03-02,2400,3,3
10046,2025-07-21,2799,1,4
10047,2025-02-25,2746,5,4
10048,2025-02-06,1948,3,4
10049,2025-05-27,1170,4,2
10050,2025-03-25,1785,2,3
10051,2025-02-05,2876,3,1
10052,2025-05-09,2357,2,2
10053,2025-03-19,2049,2,3
10054,2025-06-12,2739,5,3
10055,2025-03-09,1445,2,4
10056,2025-08-09,1964,4,3
10057,2025-07-03,1757,2,1
10058,2025-05-15,2730,4,2
10059,2025-05-13,1003,4,5
10060,2025-01-07,2450,3,3
10061,2025-06-03,1665,5,2
